"CellID","X","Y","RF_Mean_Probability","RF_SD_Probability","RF_Min_Probability","RF_Max_Probability","RF_Prediction_n","Final_Model","Final_Threshold_Method","Final_Threshold","Prospective_P90","Prospectivity_Class"
47,532163.5791,4419989.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
48,532188.5791,4419989.11,0.00890416161713258,0.00588818517418996,0,0.0419221362546747,150,"RF","P90",0.0831089141044258,0,"Below_P90"
49,532213.5791,4419989.11,0.00815930249387038,0.00406933884824753,0,0.0157870049584032,150,"RF","P90",0.0831089141044258,0,"Below_P90"
50,532238.5791,4419989.11,0.00815930249387038,0.00406933884824753,0,0.0157870049584032,150,"RF","P90",0.0831089141044258,0,"Below_P90"
51,532263.5791,4419989.11,0.00815930249387038,0.00406933884824753,0,0.0157870049584032,150,"RF","P90",0.0831089141044258,0,"Below_P90"
52,532288.5791,4419989.11,0.0167538181341852,0.0105023444113123,0,0.0477811850598319,150,"RF","P90",0.0831089141044258,0,"Below_P90"
53,532313.5791,4419989.11,0.0167538181341852,0.0105023444113123,0,0.0477811850598319,150,"RF","P90",0.0831089141044258,0,"Below_P90"
54,532338.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
55,532363.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
56,532388.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
57,532413.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
58,532438.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
59,532463.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
60,532488.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
61,532513.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
62,532538.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
63,532563.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
64,532588.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
65,532613.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
66,532638.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
67,532663.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
68,532688.5791,4419989.11,0.00798830627645787,0.00396714325858876,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
69,532713.5791,4419989.11,0.00874316578688078,0.00431251823318032,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
70,532738.5791,4419989.11,0.00874316578688078,0.00431251823318032,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
71,532763.5791,4419989.11,0.0127740130345106,0.00578623322365092,0,0.0278553014967563,150,"RF","P90",0.0831089141044258,0,"Below_P90"
72,532788.5791,4419989.11,0.0191659017115681,0.010270228354518,0,0.0836666666666667,150,"RF","P90",0.0831089141044258,0,"Below_P90"
73,532813.5791,4419989.11,0.0191659017115681,0.010270228354518,0,0.0836666666666667,150,"RF","P90",0.0831089141044258,0,"Below_P90"
74,532838.5791,4419989.11,0.00873427689799189,0.00430687142152028,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
75,532863.5791,4419989.11,0.00873427689799189,0.00430687142152028,0,0.0155663998019888,150,"RF","P90",0.0831089141044258,0,"Below_P90"
